;species;a1_h_mean;a2_h_mean;a3_h_mean;sd_h_a1;sd_h_a2;sd_h_a3;a1_rcd_mean;a2_rcd_mean;sd_rcd_a1;sd_rcd_a2;a1_cd_mean;a2_cd_mean;sd_cd_a1;sd_cd_a2
1;Abies alba;34.3984471857621;0.029292436712354;1.15409238520042;0.47273203833458;0.0013639538688803;0.0330594224153388;0.0956009749666056;-0.00033518325682063;0.144255862304055;0.00272987238693869;1.77466619639644;0.29402805537974;0.424859561001743;0.0594291771782499
2;Abies balsamea;19.8457490787759;0.070168137774922;1.50174001197064;0.505004729555887;0.0057966971019439;0.106144457814868;0.0458591245422807;0.00674322197093586;0.0373304141356012;0.00155556956936845;0.287590373455352;0.81049420750501;0.0710039751956924;0.0814818631482652
3;Abies concolor;57.1223764171917;0.0117912068422288;1.09379080200295;4.86905949617756;0.00185268781199771;0.0514322924012955;0.389374534438014;-0.00157121621663259;0.0463553993249972;0.000610913551563085;1.23277894701724;0.387328721098129;0.390478416981195;0.0811571486293974
4;Abies grandis;41.5863257741457;0.025746447965487;1.26898988440727;1.12113273227432;0.00210663218265465;0.064112302242469;0.333071519373483;0.00035696170675846;0.0455702644863267;0.000733905093855635;1.2142099630743;0.43460825927445;0.38345001090676;0.0864802293081795
5;Abies lasiocarpa;25.406477178093;0.0530785716262513;1.711046823119;0.626514943970747;0.00422598548168003;0.119986177022375;0.499328566680494;0.00317212959196792;0.0448899983519183;0.00112573104720867;0.700211188520642;0.489170623531699;0.270051391299288;0.103095095353657
6;Acer pseudoplatanus;31.9938363132955;0.0231534085089259;0.697055642029814;2.36720489879122;0.00588143551800911;0.0761662890217687;-0.20301608712324;0.00892645618004964;0.242657755364704;0.00529268759415656;0.726902998901089;0.635793114846595;0.245239619366648;0.0902615494542227
7;Acer rubrum;28.3240262658885;0.0288213476170671;0.745670998738093;0.712947734314371;0.00269649291803046;0.0320215144997582;-0.576522805010315;0.00402554051264104;0.0138146386500059;0.000376830141098634;1.30147995061149;0.511563623844998;0.243059521595596;0.0530269339383976
8;Acer saccharum;26.0075524633642;0.0423139551363042;0.862455687426825;0.294439289065917;0.00249812454864458;0.0386093449716109;-0.444558939704013;0.00332485336301104;0.0166321345463543;0.000427838747902465;1.31624507473285;0.526717482926781;0.409152225567503;0.093163368761957
9;Alnus rubra;31.7688772720922;0.0333013268881172;0.94844684741617;2.46972679693692;0.00795892944887585;0.132844132910189;-0.675002341266074;0.00861308885062896;0.0709696090517818;0.00168617701605918;0.701533007374353;0.685709331634202;0.436375089850133;0.165468428997826
10;Betula papyrifera;19.8806852045223;0.0710927397017742;1.10389828474487;0.410673733948493;0.00817655597937499;0.127295172211403;-0.66777454963618;0.0056472748113782;0.032702174247861;0.00109390794054315;0.580049392448799;0.721797336320756;0.189482603724704;0.0982406266024315
11;Betula pendula;24.7655111605113;0.0471956592499337;0.881857773050257;0.634141205487623;0.00589923171299773;0.0802252273056446;0.0481846565794342;-0.00444512012136114;0.149594522410268;0.00454357007123554;0.581119531523568;0.711196527388871;0.121753641705296;0.0611614997502827
12;Carpinus betulus;25.7245738062166;0.0367441180498295;0.746857411439878;0.792388200251168;0.00513532510988002;0.0584281808586315;0.471036278066831;-0.00406180768911038;0.230841645533033;0.00715313216843984;0.727195523648647;0.78878736468253;0.272412399015297;0.10096529321169
13;Carya alba;33.7407880107356;0.0325934978332816;1.06217475904568;2.03389928555313;0.00573227670243117;0.100494746814533;-0.450026088790519;0.00347109276244415;0.0370213298086494;0.0010219342140992;0.746104625298915;0.701804359937444;0.216434373962416;0.0783611459942253
14;Carya glabra;31.4745591242177;0.0451591890587748;1.23471017120695;0.738085481249501;0.00427236931463247;0.0951638047566487;-0.521406440836855;0.00275691459652202;0.0340001138985824;0.000872935412783807;0.524907126463251;0.80408792253721;0.178107978714273;0.095617288985653
15;Castanea sativa;16.3474331965497;0.112577902216839;1.83679116816969;0.146979850640572;0.0115900517741116;0.322329163827958;-0.165370996739494;0.0201530951633607;0.497016480091046;0.0143761954776761;2.10097865471977;0.332959825889182;0.34688807003194;0.0383151188956622
16;Fagus grandifolia;33.5732881667483;0.0207292979199411;0.786127376819713;2.28439533145149;0.00385990407198006;0.0555161536191642;0.0463536404619045;-0.00337428808001091;0.0371193573966379;0.000830936990697127;1.46126246885;0.5466817944531;0.403224708994444;0.0741196204052344
17;Fagus sylvatica;29.2854335500959;0.0289415137919094;0.838358107196727;0.326615282831189;0.00146510498218371;0.0261972572046906;0.063589199293652;0.00166976055201388;0.0941472994522663;0.00195777609466987;1.55478267637822;0.449539005182423;0.13082291229901;0.0208466769500841
18;Fraxinus americana;31.2803222477086;0.0320559290951962;0.915476564343188;1.12069541103226;0.00418910385903153;0.0709526129892681;-0.833655022136743;0.00478743884444954;0.0279942184593941;0.000690601225055304;0.800470575911361;0.651524982155509;0.192514858387743;0.065420366767242
19;Fraxinus excelsior;29.5273480752688;0.036632525334456;0.866913682949304;0.502712584370522;0.00288408250462604;0.0443258941405249;-0.447510525582038;0.0100167156322291;0.164720769500426;0.00337659325924589;0.545061705895134;0.718219633897207;0.124840254145037;0.0605694991594359
20;Fraxinus nigra;23.2316393084687;0.0486920364454071;0.980071169665613;1.77303944891584;0.0120911965960747;0.160906826017975;-0.63678219835494;0.000831373980945788;0.0438055626586923;0.00151552810679151;0.787105957268306;0.603236990155058;0.460843574780808;0.180191675321818
21;Fraxinus pennsylvanica;29.0248944269395;0.0294297277773925;0.816118304697686;1.61305977064518;0.0056164907063458;0.0812521428105028;-0.662815447935872;0.00324055625642455;0.0339089533153252;0.000880127532280877;1.05847023371274;0.584907007899174;0.727226185696217;0.166676651433573
22;Juniperus virginiana;17.9920772628208;0.0346464238849234;0.845977980466371;2.55693981978985;0.0103548262667652;0.116452786668417;0.00723072772285033;0.004142661570653;0.0546932641969656;0.00184343415431169;0.437338643134232;0.833416271123364;0.260996682810561;0.180653481918022
23;Larix decidua;28.015073021012;0.0426987719326483;1.32527699864029;0.747363949096389;0.00519089359645548;0.144411348233682;-0.507598426894501;0.00683700708565597;0.278280512161304;0.0056258356970266;0.335058858037343;0.750354307469343;0.165660863757025;0.137947117504746
24;Liquidambar styraciflua;35.9960158270772;0.0281250681546325;0.947825425999985;1.18654194790888;0.00283888952514467;0.0460236858541501;-0.457669608464958;-0.000318140418887627;0.0248215265192362;0.000666866594572828;0.662597915392282;0.663435198444381;0.136394296953123;0.0581208667173689
25;Liriodendron tulipifera;40.7317201798472;0.0229088211080687;0.836806808039967;0.992951007470599;0.0018953978488396;0.0318169335556215;-0.704627422604509;0.00353234041382091;0.0207139435239909;0.000425455604316425;0.715138125541574;0.669883484461923;0.141258801738793;0.055008128993936
26;Notholithocarpus densiflorus;30.6684770381474;0.025124131856865;1.00756181886163;3.32047630321004;0.00543249526391302;0.109783191158588;-0.583069269540491;0.00904511695961612;0.0766110089082286;0.00136780210982412;1.43560610272723;0.432513815830865;0.839114442613697;0.139541706768079
27;Nyssa sylvatica;26.7852860359259;0.0405117888820243;1.08953783335787;0.756212095539196;0.00424061192933956;0.0779159307659249;-0.516045226989867;-0.000927575800827017;0.0301934864725092;0.000774120927136674;2.5377428675779;0.293843037548985;1.25323435241102;0.155250788929725
28;Oxydendrum arboreum;26.0498593523415;0.0313733235105293;0.742349938637055;6.59802714416553;0.017405991670425;0.178096494371764;-0.909681463451282;0.00764510983801706;0.0474843396834244;0.00192734844903916;1.33500359632742;0.495241022325019;0.707201166444606;0.16385258475577
29;Picea abies;33.0890942347594;0.0396998386593478;1.33220536676377;0.298844858393649;0.00123262097912662;0.0305584359833131;0.00196749955821374;0.0021254037167132;0.0970921887864488;0.00218187197393044;0.790407771947813;0.534953188443943;0.10297294093965;0.0334768435694069
30;Picea mariana;21.8875974009145;0.0663474295119194;1.51304508314329;0.894151237075064;0.00728900809627138;0.123997365688211;-0.374256427620868;0.0198680711658811;0.0551401741928963;0.0024963501609432;0.411064272548746;0.639383240373942;0.199522336972775;0.13894053699326
31;Pinus contorta;22.1451650534429;0.0764777230498639;2.03377913022253;0.377371308432594;0.00857108990230506;0.327869750377733;-0.330124707958111;0.0088360660279288;0.0684901970693466;0.00139438642660496;0.317375345055789;0.768243775855496;0.132044056015727;0.124006316900416
32;Pinus echinata;30.2940393181675;0.0381902017379617;1.12851771469006;1.00996531361257;0.00435207671225255;0.0836148330041731;-1.17482116364289;0.0118889250094146;0.025330695198697;0.000637088511252161;0.314421617912883;0.853058209431832;0.0658255670669056;0.060984708698996
33;Pinus elliottii;38.5726651511022;0.020502025009095;0.820936681995971;5.39654886997773;0.00549249440276622;0.0647735072004901;-1.02830950640214;0.0067839872939013;0.0255846348755416;0.000789561549524481;0.27692976377878;0.917360391509902;0.0963627613915409;0.0892442322064141
34;Pinus nigra;23.5122051321377;0.0246887140116358;1.0241645902397;1.5832210412187;0.00398129512455249;0.0676756991120335;0.526462866570913;0.00137163717393115;0.437829262351795;0.00937619833953311;0.836648787157075;0.527125630920312;0.0640858072772578;0.022294307523317
35;Pinus pinaster;23.2225385023833;0.0286610087615363;1.03817731902275;0.520327750348345;0.00184320720593308;0.0332896563399;0.962878423664874;-0.0049520507693659;0.243224583181907;0.00711141451279474;0.810123437809998;0.521244466021091;0.0325194113511501;0.0112491964534432
36;Pinus ponderosa;78.1685550584615;0.00684593033857129;1.01153883104034;6.67396521082502;0.000931877116600539;0.0241880121282646;0.0467539779295394;0.00221789046612391;0.0197307354033015;0.000314974444498199;0.456932588924496;0.70683875966463;0.21392316465465;0.11554567704461
37;Pinus resinosa;26.0772735772556;0.0413667624568594;1.20649232740823;1.12638134107405;0.00602674756736402;0.129826416897405;-0.310191526238068;-0.000669744422302032;0.0421166218398496;0.00113470042926633;0.919001720725605;0.516176416056116;0.542940207934949;0.154024470400887
38;Pinus strobus;35.4522147670826;0.0220342782814213;1.01779732271315;1.45265127891684;0.0023719986899637;0.0481359660517027;-0.173903661885204;-0.000680138834209567;0.0322021872804331;0.000627531790402519;0.550781586407393;0.702746653767668;0.319710783346417;0.0961160097354432
39;Pinus sylvestris;22.8226578401339;0.0355804382442508;1.12343358108833;0.537808111623827;0.00255570032419818;0.0463567678127513;-0.0735953207596274;0.00116491706765988;0.0966558328733244;0.00283531776354981;1.35379181373514;0.382735785192444;0.0567850389622568;0.0119893230407804
40;Pinus virginiana;26.534252767506;0.0479816838124603;1.2157176495323;1.18352130835494;0.0072425093730248;0.134321254995032;-0.846903277894898;0.00257656390638669;0.034930366269908;0.00106188220494386;0.451112337995759;0.768207573683626;0.095332552812015;0.0636406298348236
41;Populus tremuloides;27.6440078995776;0.0328125904326489;0.800846481481698;1.01846288148785;0.0043935625333747;0.0534071969331793;-0.755069274356319;0.000631447713159779;0.0215321964031778;0.000677938887482922;0.426751184142338;0.769562636422183;0.090493212331611;0.0630681409937267
42;Prunus serotina;36.6931042335427;0.0184672526661293;0.766752807166967;4.37702498696327;0.00460590419125076;0.0587620799161268;-0.705765213081248;-0.000565523095521003;0.0336709908723202;0.000848409817347233;1.02511578148446;0.562800380158286;0.402792294828967;0.112768900355903
43;Pseudotsuga menziesii;79.8816025293916;0.00696227324800887;0.888917894088107;4.14430217357567;0.000694521605024907;0.0175025733290678;0.189943751559527;-0.00156317029221041;0.0223058707638079;0.000251844527454526;0.726561105494721;0.584663124418329;0.223869564767422;0.0663964184426408
44;Quercus alba;28.5345862678745;0.0424433640468113;1.15603721966926;0.290114499565643;0.00182796741459475;0.0388417465077147;-0.575085127601244;0.00569534678403772;0.0179828578898821;0.000398407696163559;0.536017249517507;0.77839418710442;0.087488341429174;0.0450656119384934
45;Quercus chrysolepis;35.4365972076533;0.0128943044057077;0.845016267767995;27.1353592919425;0.00713102374167807;0.12740686853829;-0.258471595084452;0.00278187564426468;0.0858485157676506;0.0015799735954116;1.46499706574778;0.437912215684852;0.989458208653256;0.265284835374728
46;Quercus coccinea;34.6193730437992;0.0227499384737454;0.792192077935163;2.19254954878576;0.0042062059181879;0.060605243863874;-0.665731547429173;0.00463317543006791;0.0285155609189665;0.000668296645178027;0.369162479467386;0.91218468549632;0.159770993464757;0.12594024909413
47;Quercus faginea;10.1685612053585;0.0941938336779044;1.86330528194276;0.210863101400501;0.0210243767264163;0.673569079670301;0.450629906350069;0.0171997743782873;0.397032789758505;0.0193250392138515;1.08175397534543;0.506809535769499;0.159686552321054;0.0390033652977142
48;Quercus falcata;30.2614263853288;0.0318648124687362;0.9310408688964;0.961640447958306;0.00426625140585611;0.0782074232657528;-0.542221071089248;0.00490679377097109;0.0370590614893819;0.000744965002189426;0.647421174471099;0.727175819869786;0.162939256039016;0.0777673446111423
49;Quercus ilex;7.75470078670922;0.0431675835590916;0.704784310789755;0.144265166697827;0.00635094985830886;0.0847715287382375;-0.0609481457399643;0.00300599860150257;0.333080898833461;0.00913654373858445;1.06011782293159;0.528723030553714;0.0684943554981584;0.0162355990593062
50;Quercus macrocarpa;20.0476518506983;0.0577891378552834;1.35671040446301;0.466318279265096;0.00786715042530825;0.199274197702628;-0.357409822722092;0.00453202522850777;0.0589238050826606;0.00110650054272665;0.446916304855822;0.826725539054004;0.111367513260305;0.0674460079730474
51;Quercus michauxii;25.6924429077918;0.0481043982527629;1.06773639649006;0.339750265898031;0.00355296624575091;0.0717824305721185;-0.823866112095346;0.0079954761099336;0.0245095978466379;0.000535151930402465;0.662389453514246;0.696230204928121;0.143069118847205;0.0619300602117248
52;Quercus nigra;41.5037926464584;0.0131801048282821;0.676653773071396;7.06218072844208;0.00439787054548791;0.0569874128825286;-0.333336379393915;0.00274977426862057;0.0362251458425892;0.000763165484901601;0.883681678382364;0.649870089275749;0.222304945313298;0.0713754681586264
53;Quercus petraea;29.4404064286613;0.0264885109878447;0.802865254305665;0.396551764905166;0.00158369910125345;0.0280332413897637;0.385561339819709;-0.000388448712426485;0.0898852621789718;0.00203474385599816;1.83905794858293;0.366934025823189;0.332276266155161;0.0466345562992755
54;Quercus robur;24.4531070991836;0.0384473308274806;0.96158259892159;0.176754251777113;0.00157376985202263;0.0314659774091886;0.195372598883607;-0.000518886604099106;0.134305051305885;0.00271468897300922;1.60548880041299;0.417632801781615;0.212999315512663;0.0333945019232526
55;Quercus rubra;28.9691495991505;0.0328798916415419;0.862563298957867;0.439823784647883;0.00242882288725175;0.0434326236307108;-0.654260127885417;0.00449333096640134;0.0183168541440931;0.000354218133166949;0.572936315595306;0.753339539733475;0.130438262262704;0.061080704579054
56;Quercus stellata;19.0808799796295;0.0585544784692092;1.13484536249373;0.385564765601073;0.00642688722693171;0.118920157297262;-0.644088701500693;0.00884157250023162;0.0296122870694182;0.000750953338528548;0.573571355557358;0.76516209975266;0.154656798261397;0.0772947738549877
57;Quercus velutina;27.263852150182;0.0394201889613787;1.00918442227956;0.478423855137879;0.00312184677955259;0.0596744062377967;-0.642482873303724;0.00396646407789701;0.0208306806059972;0.00044483933059097;0.647397038073874;0.711657279296623;0.156011807033426;0.0663862668700623
58;Robinia pseudoacacia;24.499949008584;0.0484822115312714;0.99888201545174;0.834472506514248;0.0077632470886866;0.131455470877222;-1.0824520659788;0.00167016066181068;0.0637130527352485;0.00173743799310015;1.46239161435714;0.454995364858368;0.778665636784526;0.150892562894364
59;Thuja occidentalis;17.469994423534;0.0405647507162215;0.977285041290698;0.73784411067605;0.00566840677980483;0.0814532462934078;-0.448373727376107;0.0149947011660428;0.0316041635318538;0.00101864263605089;0.60406826977641;0.607545038305473;0.226432697256494;0.109199916885448
60;Tilia americana;26.9845739588454;0.0503146265587282;1.2426860215004;0.646570212483925;0.00568307405469556;0.123512062166797;-0.708645028917759;0.00490826027888408;0.0334810334241983;0.000823796626598635;0.644943648964985;0.708209657416473;0.213737539839;0.0893815104938785
61;Tsuga canadensis;50.5304957428462;0.00948138059438224;0.846230142503893;12.369339900693;0.00324075790317559;0.0491807695436015;0.129408294450705;0.00192122982545474;0.0336988769095757;0.000773884466555842;1.77546353567617;0.414550093137517;0.858726269359248;0.0951258239780008
62;Tsuga heterophylla;50.5869983113418;0.0187621101301868;1.16368667577408;1.3483325661594;0.00135794817271533;0.0420802329045802;0.0851558488742304;0.000671840826033741;0.0343729210996875;0.000433794423565981;0.804229086277844;0.595971452210806;0.364972905931168;0.134120303731279
63;Ulmus americana;27.3779945127901;0.0264556525726325;0.801302611412098;2.40157414070505;0.0070155361444773;0.0889425230518144;-0.602785220203115;0.00490393242212937;0.0363300381015955;0.00106849412084242;0.428935107128042;0.910158372356547;0.214977588888869;0.144402719121616